"","ID","Sessio","jarkyttynyt","valpas","peloissaan","surullinen","inspiroitunut","vihamielinen","paattavainen","liikuttunut","hapeissaan","tarkkaavainen","hermostunut","aktiivinen","rentoutunut","ahdistunut","Condition","pos","neg","Empathy","sad","anxious","relaxed","moved","pleasantness"
"129","50052",3,1,2,1,2,2,1,3,2,1,1,1,2,4,1,"Silence",2.28571428571429,1.14285714285714,"HIGH",91.5094339622642,70.7547169811321,80.188679245283,91.5094339622642,89.622641509434
"130","50054",1,1,2,1,1,4,1,3,2,1,3,2,3,4,1,"Baseline",3,1.14285714285714,"LOW",15.3846153846154,12.5,85.5769230769231,65.3846153846154,91.3461538461538
"131","50054",2,1,2,1,1,3,1,3,2,1,2,1,2,4,1,"Music",2.57142857142857,1,"LOW",15.3846153846154,12.5,85.5769230769231,65.3846153846154,91.3461538461538
"132","50054",3,1,4,1,1,4,1,3,1,1,3,1,3,4,1,"Silence",3.14285714285714,1,"LOW",15.3846153846154,12.5,85.5769230769231,65.3846153846154,91.3461538461538
"133","50055",1,1,4,1,1,1,1,2,1,1,4,1,4,3,1,"Baseline",2.71428571428571,1,"LOW",11.5384615384615,1.92307692307692,85.5769230769231,12.5,82.6923076923077
"134","50055",2,1,3,1,1,2,1,2,1,1,3,1,2,4,1,"Music",2.42857142857143,1,"LOW",11.5384615384615,1.92307692307692,85.5769230769231,12.5,82.6923076923077
"135","50055",3,1,3,1,1,2,1,2,1,1,3,1,3,2,1,"Silence",2.28571428571429,1,"LOW",11.5384615384615,1.92307692307692,85.5769230769231,12.5,82.6923076923077
"136","50056",1,1,1,1,1,1,1,1,1,1,1,1,3,4,1,"Baseline",1.71428571428571,1,"LOW",82.6923076923077,9.61538461538461,50,81.7307692307692,79.8076923076923
"137","50056",2,2,2,1,2,1,1,1,2,1,1,1,1,3,1,"Music",1.57142857142857,1.28571428571429,"LOW",82.6923076923077,9.61538461538461,50,81.7307692307692,79.8076923076923
"138","50056",3,1,2,1,1,1,1,1,2,1,1,1,2,4,1,"Silence",1.85714285714286,1,"LOW",82.6923076923077,9.61538461538461,50,81.7307692307692,79.8076923076923
"139","50057",1,1,2,1,1,2,1,2,1,1,3,1,3,3,1,"Baseline",2.28571428571429,1,"HIGH",22.6415094339623,42.4528301886792,80.188679245283,46.2264150943396,61.3207547169811
"140","50057",2,1,1,1,1,1,1,2,1,1,1,1,2,4,1,"Music",1.71428571428571,1,"HIGH",22.6415094339623,42.4528301886792,80.188679245283,46.2264150943396,61.3207547169811
"141","50057",3,1,1,1,1,1,1,2,1,1,2,1,2,3,1,"Silence",1.71428571428571,1,"HIGH",22.6415094339623,42.4528301886792,80.188679245283,46.2264150943396,61.3207547169811
"142","50058",1,1,3,1,1,3,1,2,1,1,4,1,2,3,1,"Baseline",2.57142857142857,1,"HIGH",70.7547169811321,8.49056603773585,70.7547169811321,69.811320754717,89.622641509434
"143","50058",2,1,3,1,1,3,1,2,2,1,3,1,2,4,1,"Music",2.71428571428571,1,"HIGH",70.7547169811321,8.49056603773585,70.7547169811321,69.811320754717,89.622641509434
"144","50058",3,1,2,1,1,2,1,2,1,1,2,1,2,3,1,"Silence",2,1,"HIGH",70.7547169811321,8.49056603773585,70.7547169811321,69.811320754717,89.622641509434
"145","50059",1,1,4,1,1,5,1,5,1,1,4,1,4,4,1,"Baseline",3.85714285714286,1,"HIGH",55.7692307692308,0,100,100,100
"146","50059",2,1,4,1,2,5,1,5,4,1,4,1,4,5,1,"Music",4.42857142857143,1.14285714285714,"HIGH",55.7692307692308,0,100,100,100
"147","50059",3,1,5,1,2,5,1,5,4,1,4,1,5,5,1,"Silence",4.71428571428571,1.14285714285714,"HIGH",55.7692307692308,0,100,100,100
"148","50060",1,2,4,1,1,1,1,2,1,1,4,4,3,2,2,"Baseline",2.42857142857143,1.71428571428571,"LOW",33.9622641509434,50,16.9811320754717,47.1698113207547,61.3207547169811
"149","50060",2,1,3,4,2,2,2,1,2,3,1,2,3,2,1,"Music",2,2.14285714285714,"LOW",33.9622641509434,50,16.9811320754717,47.1698113207547,61.3207547169811
"150","50060",3,3,2,3,1,1,1,3,2,1,3,2,2,1,2,"Silence",2,1.85714285714286,"LOW",33.9622641509434,50,16.9811320754717,47.1698113207547,61.3207547169811
"151","50061",1,1,4,1,1,4,1,2,1,1,4,1,3,4,1,"Baseline",3.14285714285714,1,"HIGH",29.8076923076923,21.1538461538462,98.0769230769231,21.1538461538462,89.4230769230769
